,Unnamed: 0,id,sentence_text,ner_tags_str,entities,llm_time,llm_prompt_tokens,llm_completion_tokens
0,0,7567,"Egyptian government newspapers have criticised Britain for allowing Islamists , whom they brand as "" terrorists "" , to hold their conference , saying the meeting will be a chance for dangerous Moslem militants to plot against their countries of origin .",B-MISC O O O O B-LOC O O B-MISC O O O O O O O O O O O O O O O O O O O O O O O B-MISC O O O O O O O O O,"[{'entity': 'Egyptian', 'label': 'MISC'}, {'entity': 'Britain', 'label': 'LOC'}, {'entity': 'Islamists', 'label': 'MISC'}, {'entity': 'Moslem', 'label': 'MISC'}]",0.8449704647064209,203,62
1,1,624,Coritiba 1 Atletico Mineiro 0,B-ORG O B-ORG I-ORG O,"[{'entity': 'Coritiba', 'label': 'ORG'}, {'entity': 'Atletico Mineiro', 'label': 'ORG'}]",0.6960062980651855,171,66
2,2,12278,"4. Greece ( Dimitrios Georgalis , Georgios Chimonetos , Lampros",O B-LOC O B-PER I-PER O B-PER I-PER O B-PER,"[{'entity': 'Greece', 'label': 'LOC'}, {'entity': 'Dimitrios Georgalis', 'label': 'PER'}, {'entity': 'Georgios Chimonetos', 'label': 'PER'}, {'entity': 'Lampros', 'label': 'PER'}]",0.867434024810791,178,114
3,3,10981,"Chile 's ENAP buys Oriente , Escravos crude for Oct .",B-LOC O B-ORG O B-ORG O B-ORG O O O O,"[{'entity': 'Chile', 'label': 'LOC'}, {'entity': 'ENAP', 'label': 'ORG'}, {'entity': 'Oriente', 'label': 'ORG'}, {'entity': 'Escravos', 'label': 'ORG'}]",1.0635595321655271,175,109
4,4,6961,"The Swiss teenager , a twice French Open junior champion and a Wimbledon juniors winner , had already proven her main stage mettle by reaching the quarters at this year 's Australian Open .",O B-MISC O O O O B-MISC I-MISC O O O O B-MISC O O O O O O O O O O O O O O O O O O B-MISC I-MISC O,"[{'entity': 'Swiss', 'label': 'MISC'}, {'entity': 'French Open', 'label': 'MISC'}, {'entity': 'Wimbledon', 'label': 'MISC'}, {'entity': 'Australian Open', 'label': 'MISC'}]",0.9448533058166504,196,108
5,5,510,South African provincial side Boland said on Thursday they had signed Leicestershire fast bowler David Millns on a one year contract .,B-MISC I-MISC O O B-ORG O O O O O O B-ORG O O B-PER I-PER O O O O O O,"[{'entity': 'South African', 'label': 'MISC'}, {'entity': 'Boland', 'label': 'ORG'}, {'entity': 'Leicestershire', 'label': 'ORG'}, {'entity': 'David Millns', 'label': 'PER'}]",1.091632604598999,184,110
6,6,3853,DETROIT AT KANSAS CITY,B-ORG O B-LOC I-LOC,"[{'entity': 'DETROIT', 'label': 'ORG'}, {'entity': 'KANSAS CITY', 'label': 'LOC'}]",0.8705201148986816,166,64
7,7,9905,The new rules will require specialists at stock exchanges and market makers on Nasdaq to allow customers to view price quotes from other electronic trading systems that may not be readily available to them .,O O O O O O O O O O O O O B-MISC O O O O O O O O O O O O O O O O O O O O O,"[{'entity': 'Nasdaq', 'label': 'MISC'}]",0.7332661151885986,195,40
8,8,8873,DUBLIN 1996-08-27,B-LOC O,"[{'entity': 'DUBLIN', 'label': 'LOC'}]",0.5745494365692139,175,41
9,9,9315,"The 7-pound , 4-ounce ( 3.3 kg ) girl , named Sophia Rose , was born shortly after midnight at South Miami Hospital , publicist Paul Bloch said .",O O O O O O O O O O O B-PER I-PER O O O O O O O B-LOC I-LOC I-LOC O O B-PER I-PER O O,"[{'entity': 'Sophia Rose', 'label': 'PER'}, {'entity': 'South Miami Hospital', 'label': 'LOC'}, {'entity': 'Paul Bloch', 'label': 'PER'}]",0.7302908897399902,199,87
10,10,1302,"-- Jason Webb , Buenos Aires Newsroom +541 318-0655",O B-PER I-PER O B-ORG I-ORG I-ORG O O,"[{'entity': 'Jason Webb', 'label': 'PER'}, {'entity': 'Buenos Aires Newsroom', 'label': 'ORG'}]",1.039628028869629,181,86
11,11,6682,SOCCER - HUNGARY FIRST DIVISION RESULTS / STANDINGS .,O O B-LOC O O O O O O,"[{'entity': 'HUNGARY', 'label': 'LOC'}]",0.6108572483062744,173,41
12,12,10598,ROME 1996-08-28,B-LOC O,"[{'entity': 'ROME', 'label': 'LOC'}]",0.8393495082855225,173,39
13,13,9937,""" Saskatchewan is well positioned to take advantage of growing world markets for pork , "" Saskatchewan Wheat Pool chief executive Don Loewen said in a company statement .",O B-LOC O O O O O O O O O O O O O O B-ORG I-ORG I-ORG O O B-PER I-PER O O O O O O,"[{'entity': 'Saskatchewan', 'label': 'LOC'}, {'entity': 'Saskatchewan Wheat Pool', 'label': 'ORG'}, {'entity': 'Don Loewen', 'label': 'PER'}]",0.7279598712921143,190,89
14,14,11686,-- Air Cargo Newsroom Tel+44 171 542 7706 Fax+44 171 542 5017,O B-ORG I-ORG I-ORG O O O O O O O O,"[{'entity': 'Air Cargo Newsroom', 'label': 'ORG'}]",0.474045991897583,199,14
15,15,10781,Strasbourg 4 1 0 3 2 7 3,B-ORG O O O O O O O,"[{'entity': 'Strasbourg', 'label': 'ORG'}]",0.7277169227600098,178,41
16,16,326,( players U.S. unless stated ) :,O O B-LOC O O O O,"[{'entity': 'U.S.', 'label': 'LOC'}]",0.6195788383483887,170,41
17,17,10970,""" Several service centers indicated that while their volume of orders remains constant , the size-per-order continues to be smaller than what was realised during the first five months of the year , "" the CBSA said .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-ORG O O,"[{'entity': 'CBSA', 'label': 'ORG'}]",0.5664763450622559,203,40
18,18,12436,Anyang 0 3 1 6 9 3,B-ORG O O O O O O,"[{'entity': 'Anyang', 'label': 'ORG'}]",0.8155746459960938,175,40
19,19,11971,"Fox initially fled from the shooting in a car , but then abandoned the car and entered dense bushland .",B-PER O O O O O O O O O O O O O O O O O O O,"[{'entity': 'Fox', 'label': 'PER'}]",0.5693836212158203,181,39
20,20,12415,Mark Cairns ( England ) beat Joseph Kneipp ( Australia ) 8-15 15-12 15-8 15-8,B-PER I-PER O B-LOC O O B-PER I-PER O B-LOC O O O O O,"[{'entity': 'Mark Cairns', 'label': 'PER'}, {'entity': 'England', 'label': 'LOC'}, {'entity': 'Joseph Kneipp', 'label': 'PER'}, {'entity': 'Australia', 'label': 'LOC'}]",0.8351709842681885,195,109
21,21,12180,FINANCIAL STATEMENTS OF THE EUROPEAN COAL AND STEEL COMMUNITY AT 31 DECEMBER 1995 ( 96 / C 251/03 ),O O O O B-MISC O O O O O O O O O O O O O O,"[{'entity': 'EUROPEAN', 'label': 'MISC'}]",0.8783338069915771,194,72
22,22,8081,"They walk around with mobile phones and camera equipment , they communicate and gather support for demos via the Internet -- we 're talking about a highly sophisticated organisation . """,O O O O O O O O O O O O O O O O O O O B-MISC O O O O O O O O O O O,"[{'entity': 'Internet', 'label': 'MISC'}]",0.4793794155120849,192,14
23,23,2215,Hansa Rostock 0 Hamburg 1 ( Baeron 64th min ) .,B-ORG I-ORG O B-ORG O O B-PER O O O O,"[{'entity': 'Hansa Rostock', 'label': 'ORG'}, {'entity': 'Hamburg', 'label': 'ORG'}, {'entity': 'Baeron', 'label': 'PER'}]",0.7225971221923828,178,86
24,24,7082,"Fernandez ( 6-13 ) allowed two runs , walked one and struck out eight for his second career complete game , both against Montreal .",B-PER O O O O O O O O O O O O O O O O O O O O O O B-ORG O,"[{'entity': 'Fernandez', 'label': 'PER'}, {'entity': 'Montreal', 'label': 'ORG'}]",0.6951014995574951,190,62
25,25,10987,"The next purchase tender from ENAP is expected for late October or early November crude , traders said .",O O O O O B-ORG O O O O O O O O O O O O O,"[{'entity': 'ENAP', 'label': 'ORG'}]",0.9615428447723388,180,40
26,26,8033,LONDON 1996-08-27,B-LOC O,"[{'entity': 'LONDON', 'label': 'LOC'}]",0.6953883171081543,173,39
27,27,5858,St Kilda 9 .,B-ORG I-ORG O O,"[{'entity': 'St Kilda', 'label': 'ORG'}]",0.7605810165405273,166,41
28,28,7511,Indonesian rupiah stable in quiet late trading .,B-MISC O O O O O O O,"[{'entity': 'Indonesian', 'label': 'MISC'}]",0.676842212677002,169,41
29,29,4167,"I think it will be more physically challenging and we 'll have to go up against more diverse situations due to the terrain , "" said Dr. Michael Stroud , a veteran Eco-Challenge participant .",O O O O O O O O O O O O O O O O O O O O O O O O O O O B-PER I-PER O O O B-MISC O O,"[{'entity': 'Michael Stroud', 'label': 'PER'}, {'entity': 'Eco-Challenge', 'label': 'MISC'}]",0.7222084999084473,199,66
30,30,2764,"government and NBH 9,510.9 10,056.4",O O B-ORG O O,"[{'entity': 'NBH', 'label': 'ORG'}]",0.8879942893981934,182,62
31,31,12141,COPENHAGEN 1996-08-28,B-LOC O,"[{'entity': 'COPENHAGEN', 'label': 'LOC'}]",0.5656218528747559,175,42
32,32,10441,MINNESOTA 66 66 .500 13,B-ORG O O O O,"[{'entity': 'MINNESOTA', 'label': 'ORG'}]",0.5666782855987549,176,40
33,33,10923,BOSTON 1996-08-28,B-LOC O,"[{'entity': 'BOSTON', 'label': 'LOC'}]",0.6148257255554199,173,39
34,34,10283,Former South African captain Giles Bonnet was named by the South African Hockey Association on Wednesday as the new coach of the men 's national side .,O B-MISC I-MISC O B-PER I-PER O O O O B-ORG I-ORG I-ORG I-ORG O O O O O O O O O O O O O,"[{'entity': 'South African', 'label': 'MISC'}, {'entity': 'Giles Bonnet', 'label': 'PER'}, {'entity': 'South African Hockey Association', 'label': 'ORG'}]",0.8196234703063965,188,66
35,35,7604,"Copper scrap , Midwest and East coast average price ,",O O O B-LOC O B-LOC I-LOC O O O,"[{'entity': 'Midwest', 'label': 'LOC'}, {'entity': 'East coast', 'label': 'LOC'}]",0.7827353477478027,170,62
36,36,389,8 - Nathalie Tauziat ( France ) beat Shi-Ting Wang ( Taiwan ) 6-4,O O B-PER I-PER O B-LOC O O B-PER I-PER O B-LOC O O,"[{'entity': 'Nathalie Tauziat', 'label': 'PER'}, {'entity': 'France', 'label': 'LOC'}, {'entity': 'Shi-Ting Wang', 'label': 'PER'}, {'entity': 'Taiwan', 'label': 'LOC'}]",0.8621981143951416,182,111
37,37,5513,Skeid 19 10 2 7 29 30 32,B-ORG O O O O O O O,"[{'entity': 'Skeid', 'label': 'ORG'}]",0.7027492523193359,182,40
38,38,10611,Monza 0 Napoli 1,B-ORG O B-ORG O,"[{'entity': 'Monza', 'label': 'ORG'}, {'entity': 'Napoli', 'label': 'ORG'}]",0.8124969005584717,168,62
39,39,4686,2. Inez Turner ( Jamaica ) 2:01.98,O B-PER I-PER O B-LOC O O,"[{'entity': 'Inez Turner', 'label': 'PER'}, {'entity': 'Jamaica', 'label': 'LOC'}]",0.6761810779571533,177,63
40,40,12786,Nomads will vote at mobile polling stations around the vast Central African country between November 20 and 24 .,O O O O O O O O O O B-MISC I-MISC O O O O O O O,"[{'entity': 'Central African', 'label': 'MISC'}]",0.6814565658569336,185,40
41,41,9483,"However , a spokesman for Prime Minister Gulbuddin Hekmatyar , a long-time rival of Masood , expressed concern at signs of renewed U.S. interest in Afghanistan .",O O O O O O O B-PER I-PER O O O O O B-PER O O O O O O O B-LOC O O B-LOC O,"[{'entity': 'Gulbuddin Hekmatyar', 'label': 'PER'}, {'entity': 'Masood', 'label': 'PER'}, {'entity': 'U.S.', 'label': 'LOC'}, {'entity': 'Afghanistan', 'label': 'LOC'}]",0.893662691116333,197,115
42,42,282,"The plugged wells have accounted for a dip of 30,000 barrels per day ( bpd ) in Heidrun output to roughly 220,000 bpd , according to the company 's Status Weekly newsletter .",O O O O O O O O O O O O O O O O O B-LOC O O O O O O O O O O O B-ORG I-ORG O O,"[{'entity': 'Heidrun', 'label': 'LOC'}, {'entity': 'Status Weekly', 'label': 'ORG'}]",0.7831575870513916,210,41
43,43,13126,"The crowd in the church was wildly supportive , showering Simpson with gifts and praise .",O O O O O O O O O O B-PER O O O O O,"[{'entity': 'Simpson', 'label': 'PER'}]",0.5648925304412842,176,39
44,44,12484,Petra Langrova ( Czech Republic ) beat Naoko Sawamatsu ( Japan ) 6- 4 3-6 7-5,B-PER I-PER O B-LOC I-LOC O O B-PER I-PER O B-LOC O O O O O,"[{'entity': 'Petra Langrova', 'label': 'PER'}, {'entity': 'Czech Republic', 'label': 'LOC'}, {'entity': 'Naoko Sawamatsu', 'label': 'PER'}, {'entity': 'Japan', 'label': 'LOC'}]",1.0335772037506104,190,112
45,45,4725,"SPA-FRANCORCHAMPS , Belgium 1996-08-25",B-LOC O B-LOC O,"[{'entity': 'SPA-FRANCORCHAMPS', 'label': 'LOC'}, {'entity': 'Belgium', 'label': 'LOC'}]",0.6967153549194336,180,66
